,context,metric,target,value,Model,Session,fitting_time,parameters,epochs,fold_n,time_epochs
92,hms,SMAPE,Future N° Sessions,0.5981397260821029,Lag 1,18,0.0,1,1,0,0.0
93,hms,SMAPE,Future N° Sessions,0.5723694634928564,Lag 1,19,0.0,1,1,0,0.0
94,hms,SMAPE,Future N° Sessions,0.5613157093267102,Lag 1,20,0.0,1,1,0,0.0
95,jc3,SMAPE,Future Absence,0.9143489185785272,Lag 1,2,0.0,1,1,0,0.0
96,jc3,SMAPE,Future Absence,0.6095546082159107,Lag 1,3,0.0,1,1,0,0.0
97,jc3,SMAPE,Future Absence,0.586722393052109,Lag 1,4,0.0,1,1,0,0.0
98,jc3,SMAPE,Future Absence,0.5781766914180673,Lag 1,5,0.0,1,1,0,0.0
99,jc3,SMAPE,Future Absence,0.581230172664928,Lag 1,6,0.0,1,1,0,0.0
100,jc3,SMAPE,Future Absence,0.5817468098516374,Lag 1,7,0.0,1,1,0,0.0
101,jc3,SMAPE,Future Absence,0.5837469080023362,Lag 1,8,0.0,1,1,0,0.0
102,jc3,SMAPE,Future Absence,0.5830276971505299,Lag 1,9,0.0,1,1,0,0.0
103,jc3,SMAPE,Future Absence,0.5860462106961652,Lag 1,10,0.0,1,1,0,0.0
104,jc3,SMAPE,Future Absence,0.5917597581533494,Lag 1,11,0.0,1,1,0,0.0
105,jc3,SMAPE,Future Absence,0.5932064249198369,Lag 1,12,0.0,1,1,0,0.0
106,jc3,SMAPE,Future Absence,0.5977011131784137,Lag 1,13,0.0,1,1,0,0.0
107,jc3,SMAPE,Future Absence,0.5957176232205776,Lag 1,14,0.0,1,1,0,0.0
108,jc3,SMAPE,Future Absence,0.6039764164915116,Lag 1,15,0.0,1,1,0,0.0
109,jc3,SMAPE,Future Absence,0.6056833034367207,Lag 1,16,0.0,1,1,0,0.0
110,jc3,SMAPE,Future Absence,0.6062777461617535,Lag 1,17,0.0,1,1,0,0.0
111,jc3,SMAPE,Future Absence,0.6024025151324484,Lag 1,18,0.0,1,1,0,0.0
112,jc3,SMAPE,Future Absence,0.6070959617613184,Lag 1,19,0.0,1,1,0,0.0
113,jc3,SMAPE,Future Absence,0.6153596954743589,Lag 1,20,0.0,1,1,0,0.0
114,jc3,SMAPE,Future Active Time,0.3049038562065149,Lag 1,2,0.0,1,1,0,0.0
115,jc3,SMAPE,Future Active Time,0.334870214129826,Lag 1,3,0.0,1,1,0,0.0
116,jc3,SMAPE,Future Active Time,0.3456959632522116,Lag 1,4,0.0,1,1,0,0.0
117,jc3,SMAPE,Future Active Time,0.3508226300985115,Lag 1,5,0.0,1,1,0,0.0
118,jc3,SMAPE,Future Active Time,0.3496715914089028,Lag 1,6,0.0,1,1,0,0.0
119,jc3,SMAPE,Future Active Time,0.3479719816099823,Lag 1,7,0.0,1,1,0,0.0
120,jc3,SMAPE,Future Active Time,0.3472414023850551,Lag 1,8,0.0,1,1,0,0.0
121,jc3,SMAPE,Future Active Time,0.3487257917255478,Lag 1,9,0.0,1,1,0,0.0
122,jc3,SMAPE,Future Active Time,0.3455183895776845,Lag 1,10,0.0,1,1,0,0.0
123,jc3,SMAPE,Future Active Time,0.3433040368705186,Lag 1,11,0.0,1,1,0,0.0
124,jc3,SMAPE,Future Active Time,0.3449949996406664,Lag 1,12,0.0,1,1,0,0.0
125,jc3,SMAPE,Future Active Time,0.3408877170912052,Lag 1,13,0.0,1,1,0,0.0
126,jc3,SMAPE,Future Active Time,0.337915537128634,Lag 1,14,0.0,1,1,0,0.0
127,jc3,SMAPE,Future Active Time,0.3400902957127992,Lag 1,15,0.0,1,1,0,0.0
